"Fingerprint - Tortured Phrase","Expected Text","Nb Retrieved Papers"
"""touchy purchaser facts""","sensitive customer/user data","1"
"""hairy participation""","fuzzy membership","1"
"""scikit-take a look at""","scikit-learn (Python library)","1"
"""distributive stockpiling""","distributed storage","1"
"""linear back vector classifier""","Linear Support Vector Classifier (LinearSVC)","1"
"""you most effective appearance once""","you only LOOK once (YOLO)","1"
"""deep communication network (DBN)""","deep belief network","1"
"""taking place stairs""","going down stairs","1"
"""ingenious miniature vane""","Smart Miniature Vane (SMV)","1"
"""logical data learning""","Logical Data Modeling","1"
"""phantom area intelligence tomography""","spectral domain optical coherence tomography (SD-OCT)","1"
"""restorative flag preparing""","medical signal processing","1"
"""worldwide component loads""","global feature weights","1"
"""ad-hoc request separate vector""","ad-hoc on-demand distance vector (AODV)","1"
"""head section assessment""","principal component analysis (PCA)","1"
"""creation 4.zero""","construction 4.0","1"
"""targeting and controlled discharge""","targeted and controlled release","1"
"""auup-todatemation""","automation","1"
"""guide record series""","manual data collection","1"
"""market wicker container examination""","market basket analysis","1"
"""period postpone neural""","time delay neural (network)","1"
"""Ecological Carbon Kuznets Bend""","Environmental Carbon Kuznets Curve (ECKC)","1"
"""picture and discourse examination""","image and speech processing","1"
"""manual or semi-robotized client subordinate techniques""","Supervised or semi-supervised ?","1"
"""Relationship for Clinical advantages Examination and Quality""","Agency for Healthcare Research and Quality (AHRQ) (US healthcare)","1"
"""machine encoders (AEs)""","auto-encoders","1"
"""phony space lab""","Fake Space Lab","1"
"""straight exterior speculation""","foreign direct investment","1"
"""end-3 PUFAs""","omega-3 PUFAs","1"
"""accelerate vigorous element""","speeded-up robust features (SURF)","1"
"""GB of Hammer""","GB of RAM","1"
"""RNA–DNA acknowledgement""","RNA–DNA complementarity?","1"
"""Louis Pasteur Institute of Persia""","Louis Pasteur Institute of Iran","1"
"""hypothesis age (HG)""","hypothesis generation","1"
"""ill-disposed malware""","adversarial malware (?)","1"
"""flagging go-betweens""","signalling mediator","1"
"""consonant to commotion rate""","Harmonic to Noise Rate (HNR)","1"
"""fragmentary fundamental conditions""","fractional integral equations","1"
"""absolutely strong state""","fully solid state","1"
"""vulnerability of enthusiastic names""","???","1"
"""natural files"" AND ""environmental indices""","environmental indices","1"
"""bacterial research rationalization calculation""","bacterial foraging optimization algorithm (BFOA)","1"
"""small voice cancers""","larynx cancer","1"
"""internet up to daters""","Internet of Things Application (IOTA)","1"
"""bound together states of America""","USA","1"
"""periphery course disorder""","peripheral artery disease","1"
"""stock charge bubbles""","stock market bubbles","1"
"""mind local area""","neural network (?)","1"
"""tainted phones""","infected phones","1"
"""bodily-layer broadcast coding""","physical layer network coding","1"
"""yank medical specialty Association""","American Psychiatric Association (APA)","1"
"""south focal Florida city""","south central Florida city","1"
"""result tensor cradle""","output tensor buffer","1"
"""livestock oil and pets fat""","animal oil and fats","1"
"""Tobacco shake infection""","Tobacco rattle virus (TRV)","1"
"""take away prevent word""","stop word removal","1"
"""worthy creature protein""","animal protein","1"
"""cathode territory""","electrode/cathode area","1"
"""compromising get-togethers""","malicious parties","1"
"""voronoi adornment""","Voronoi tesselation ?","1"
"""Bessel work request""","Bessel function order","1"
"""intellectual stretch tiers""","mental stress levels","1"
"""feathery reason""","fuzzy logic","1"
"""fascination spectra""","absorption spectra","1"
"""recreated toughening and hereditary calculation""","simulated annealing genetic algorithm (SA-GA)","1"
"""ostensibly tried"" AND ""visually impaired""","visually impaired","1"
"""erudite and commerce distributions""","trade in knowledge","1"
"""curvelet premise capacities""","curvelet basis functions","1"
"""substantial internet based life information""","online data","1"
"""discourse just interfaces""","speech-only interfaces (?)","1"
"""gross domestic item""","gross domestic product","1"
"""ailment wretchedness""","severe disease","1"
"""bacterial rummaging streamlining""","bacterial foraging optimization (BFO)","1"
"""Google documenting system""","Google File System (GFS)","1"
"""throwing a poll""","conducting an election","1"
"""pre-prepared neural classifier""","pre-trained neural classifier","1"
"""k-infers grouping""","k-means clustering","1"
"""primary issue evaluation""","principal component analysis (PCA)","1"
"""atypical recurrence scattering""","anomalous frequency dispersion","1"
"""to aqueduct the knowledge gaps""","to fill the knowledge gaps","1"
"""leads to create death""","cause death","1"
"""ballotor""","voter","1"
"""received signal strength marker""","received signal strength indicator","1"
"""bamboozle both the universes""","Anomalous Interaction","1"
"""brought together learning body""","Integrated Knowledge Network ?","1"
"""complete inconstancy space""","total variability space","1"
"""relative unconditional error""","relative absolute error (RAE)","1"
"""77-rate exactness""","77 percent accuracy","1"
"""confront, iris, finger, palm""","face, iris, finger, palm","1"
"""gullible Naive-Bayes""","Naive Bayes","1"
"""parametrized endless arm crook issue""","multi-arm non-contextual bandit problem","1"
"""versatile instructive hypermedia framework""","Adaptive Educational eLearning System","1"
"""counterfeit expected field""","artificial potential field (APF)","1"
"""Client-server job (CSR)""","(?)","1"
"""series facts processing""","sequence data processing","1"
"""piddling pattern""","insignificant pattern","1"
"""reason of poisonous""","mechanism of toxicity","1"
"""part ancestry algorithms""","genetic algorithms","1"
"""SFRC radiate""","SFRC beam","1"
"""dilated causal remaining CNN""","dilated causal residual CNN (neural network)","1"
"""managed order technique""","supervised classification technique","1"
"""parallel correspondence calculation""","parallel computing/processing","1"
"""mechanized mechanism classifier""","automated machine classifier","1"
"""all-inclusive foundation show""","Universal Background Model (UBM)","1"
"""reparable irresistible ailment""","curable infectious disease","1"
"""country wide Basketball association""","National Basketball Association (NBA)","1"
"""refined sweetie""","refined sugar","1"
"""sunlight-based PV vitality age framework""","solar based PV energy system","1"
"""delicate cognitive impairment""","mild cognitive impairment","1"
"""Joined along States""","United States","1"
"""Incitation Stun""","Activation Lock","1"
"""her tally touched base""","the vote reached","1"
"""herbal size pix""","natural size image","1"
"""off periods or to f remedy""","offer a sort of antidote","1"
"""Inferable from the nearness of the principle chain""","surrounding of the main chain (???)","1"
"""unmarried-modal strategies""","single-modal approaches","1"
"""order sending ways of behaving""","command forwarding behaviors","1"
"""gained sign quality""","Received Signal Strength (RSS)","1"
"""astute lighting""","smart lighting","1"
"""angle support trees""","gradient boosting trees","1"
"""stronghold vector""","support vector [machine] (SVM)","1"
"""cause them their life""","cost them their life","1"
"""inert IR sensor""","passive infrared sensor (PIR sensor)","1"
"""Prophet 11g""","Oracle 11g","1"
"""open-name pilot""","open-label pilot","1"
"""light-touchy floor""","light-sensitive surface","1"
"""music facts retrieval""","music information retrieval (MIR)","1"
"""brilliant ball"" AND ""smart contract""","smart contract","1"
"""fluoroboric corrosive""","fluoroboric acid","1"
"""dissemination of development theory""","diffusion of innovation theory","1"
"""Porch and Keas""","PyTorch and Keras","1"
"""quite right privacy""","pretty good privacy (PGP)","1"
"""subband wavelets are separated""","wavelet subbands are extracted","1"
"""heterosexual photonic crystal""","anisotropic photonic crystal","1"
"""coffee-electricity adaptive clustering hierarchy""","Low Energy Adaptive Clustering Hierarchy","1"
"""client particular pass-stage""","user-specific pass-phrase","1"
"""dynamic sound decrease""","active noise cancellation","1"
"""administration prevailing (S–D) rationale""","service-dominant (S-D) logic","1"
"""coming to radiance""","came to light","1"
"""extensive optional administrations information""","Unstructured Supplementary Service Data (USSD)","1"
"""web sprinters""","web pages (?)","1"
"""affirmation of traffic signs""","traffic sign recognition","1"
"""traffic thickness-based congestion the board calculation""","traffic density-based congestion control algorithm","1"
"""stagnation guide stream""","stagnant flow","1"
"""one year secluded""","one year apart","1"
"""there prostitutes show""","the results show","1"
"""neuro-tender""","neuro-fuzzy","1"
"""pre-programmed discourse recognition""","automatic speech recognition (ASR)","1"
"""vacuum plasma shower""","vacuum plasma spraying","1"
"""clamor remaining""","noise residual","1"
"""lingering attractive properties""","residual magnetic properties","1"
"""back causing calculation""","back propagation algorithm","1"
"""genuine tone of people towards a specific item""","true attitude","1"
"""proper condemnation convention""","???","1"
"""robotized attendant""","virtual assistant","1"
"""Oneself principle at Home Show""","Independence At Home Demonstration (US healthcare)","1"
"""haze enrolling""","fog computing","1"
"""impression of emanated transport emission""","effect of transport emissions","1"
"""clinical advantages examination""","healthcare research","1"
"""center for illness control and anticipation""","Center for Disease Control and Prevention (CDC)","1"
"""book free voice mindfulness framework""","text-independent voice recognition system","1"
"""youngsters cross lacking""","children go missing","1"
"""seen value"" AND ""perceived use""","Perceived Use (PU)","1"
"""collection processing fashion""","sequence processing model","1"
"""straight recognition scope""","linear detection range","1"
"""Organization for the Advancement of Structured Data Standards""","Organization for the Advancement of Structured Information Standards","1"
"""corrosive iminodiacetic""","Iminodiacetic acid","1"
